Time,Temp,Humi,Motor Temp,XVal,YVal,ZVal,Vibe,Count
1764.1799999999027,21.3,28.7,34.68,0.0,58.86,0.0,19.0,645.0
1764.4499999999027,21.3,28.7,34.93,0.0,0.0,0.0,0.0,645.0
1764.7199999999027,21.3,28.7,34.68,58.86,0.0,0.0,19.0,645.0
1764.9899999999027,21.3,28.7,34.93,235.44,58.86,166.77,153.0,645.0
1765.2599999999027,21.3,28.6,34.68,58.86,568.98,176.58,268.0,645.0
1765.5299999999027,21.3,28.6,34.68,58.86,58.86,58.86,58.0,646.0
1765.7999999999026,21.3,28.6,34.93,58.86,0.0,0.0,19.0,646.0
1766.0699999999026,21.3,28.6,34.68,58.86,0.0,58.86,39.0,646.0
1766.3399999999026,21.3,28.6,34.93,58.86,0.0,49.05,35.0,646.0
1766.6099999999026,21.3,28.6,34.68,58.86,0.0,0.0,19.0,646.0
1766.8799999999026,21.3,28.6,34.68,0.0,0.0,0.0,0.0,646.0
1767.1499999999025,21.3,28.6,34.68,0.0,0.0,0.0,0.0,646.0
1767.4199999999025,21.3,28.6,34.68,0.0,0.0,0.0,0.0,646.0
1767.6899999999025,21.3,28.6,34.68,0.0,58.86,117.72,58.0,646.0
1767.9599999999025,21.3,28.6,34.43,58.86,58.86,235.44,117.0,646.0
1768.2299999999025,21.3,28.6,34.43,0.0,58.86,58.86,39.0,647.0
1768.4999999999025,21.3,28.6,34.68,58.86,0.0,0.0,19.0,647.0
1768.7699999999024,21.3,28.6,34.93,58.86,176.58,176.58,137.0,647.0
1769.0399999999024,21.3,28.6,34.93,0.0,117.72,117.72,78.0,647.0
1769.3099999999024,21.3,28.6,34.68,0.0,58.86,58.86,39.0,647.0
1769.5799999999024,21.3,28.7,34.68,0.0,58.86,58.86,39.0,647.0
1769.8499999999024,21.3,28.7,34.68,0.0,0.0,58.86,19.0,647.0
1770.1199999999023,21.3,28.7,34.43,0.0,0.0,0.0,0.0,647.0
1770.3899999999023,21.3,28.7,34.68,58.86,58.86,0.0,39.0,647.0
1770.6599999999023,21.3,28.7,34.68,176.58,0.0,117.72,98.0,647.0
1770.9299999999023,21.3,28.7,34.43,58.86,0.0,0.0,19.0,648.0
1771.1999999999023,21.3,28.7,34.68,0.0,58.86,0.0,19.0,648.0
1771.4699999999023,21.3,28.7,34.68,58.86,0.0,117.72,58.0,648.0
1771.7399999999022,21.3,28.7,34.93,343.35,107.91,117.72,189.0,648.0
1772.0099999999022,21.3,28.7,34.68,0.0,58.86,0.0,19.0,648.0
1772.2799999999022,21.3,28.7,34.68,0.0,58.86,58.86,39.0,648.0
